store_code,n_obs,n_items,n_weeks,total_units,week_coverage
100,22455,343,151,872611.25,1.0
101,23459,338,151,918743.4,1.0
102,20633,315,151,904931.6,1.0
103,22272,323,151,1044910.0,1.0
105,20701,326,151,830288.75,1.0
106,14210,269,151,335417.2,1.0
107,13208,247,149,426044.56,0.9867549668874173
109,20466,299,151,524944.4,1.0
110,14879,244,148,489821.3,0.9801324503311258
111,9057,168,151,175097.42,1.0
112,22239,303,151,721563.4,1.0
113,16538,255,150,499877.34,0.9933774834437086
115,19484,305,151,484377.72,1.0
116,16650,287,149,449003.66,0.9867549668874173
117,11810,228,145,310981.7,0.9602649006622517
118,10263,200,151,175023.6,1.0
119,14091,252,150,270837.5,0.9933774834437086
12,18796,291,149,542493.1,0.9867549668874173
121,22129,296,151,604386.9,1.0
122,22650,319,151,878325.4,1.0
123,14414,251,151,510071.75,1.0
126,23130,355,151,766080.7,1.0
128,24251,333,151,966030.0,1.0
129,21733,314,151,682568.9,1.0
130,12621,207,149,278643.3,0.9867549668874173
131,22513,345,151,844962.94,1.0
132,21641,336,151,665340.0,1.0
133,14777,270,113,409420.16,0.7483443708609272
134,21101,329,151,672179.2,1.0
136,16161,276,134,380867.12,0.8874172185430463
137,999,129,11,17638.219,0.0728476821192053
139,11831,268,86,478033.38,0.5695364238410596
14,15194,245,149,401923.53,0.9867549668874173
18,14023,249,148,443462.47,0.9801324503311258
2,5,1,5,127.75765,0.033112582781456956
21,14821,271,151,472242.4,1.0
32,17550,280,150,485247.75,0.9933774834437086
33,11203,226,150,329584.38,0.9933774834437086
40,11253,226,151,283902.03,1.0
49,11653,246,149,192370.83,0.9867549668874173
5,7416,240,76,128351.36,0.5033112582781457
50,6549,180,124,147414.69,0.8211920529801324
51,12251,235,150,275230.22,0.9933774834437086
53,10850,218,150,172079.86,0.9933774834437086
56,11979,219,150,254550.53,0.9933774834437086
59,13975,236,150,379673.03,0.9933774834437086
62,14610,231,150,382681.28,0.9933774834437086
64,11806,225,151,480550.72,1.0
67,13732,220,150,299565.34,0.9933774834437086
68,12692,249,147,291717.25,0.9735099337748344
70,13085,217,150,287116.78,0.9933774834437086
71,18350,307,148,491138.4,0.9801324503311258
72,13200,240,150,243692.39,0.9933774834437086
73,14051,258,150,455384.6,0.9933774834437086
74,14867,272,149,451117.56,0.9867549668874173
75,15802,281,150,495337.3,0.9933774834437086
76,17328,289,151,508837.12,1.0
77,15910,281,138,425498.12,0.9139072847682119
78,11872,215,151,357152.2,1.0
8,14683,273,149,361082.8,0.9867549668874173
80,12973,268,150,229856.39,0.9933774834437086
81,13882,265,150,291865.25,0.9933774834437086
84,14327,290,150,384481.0,0.9933774834437086
86,17400,275,150,654030.0,0.9933774834437086
89,13659,241,151,339698.28,1.0
9,14966,278,150,271847.4,0.9933774834437086
90,9899,202,150,222687.48,0.9933774834437086
91,13551,227,149,286088.0,0.9867549668874173
93,1981,127,21,43648.56,0.1390728476821192
94,15744,244,151,479594.1,1.0
95,12216,247,148,505489.28,0.9801324503311258
97,13592,224,138,302128.25,0.9139072847682119
98,21443,323,151,872584.25,1.0
