dataset,model,fold_or_boot_id,n_observed_cells,n_below_support,n_above_support,share_outside_support
dominick,icdn,2,14246,538,2971,0.2463147550189527
dominick,icdn,3,14851,1,3891,0.2620698942832132
dominick,icdn,boot1,17215,4,3801,0.2210281731048504
dominick,icdn,boot2,17215,75,4057,0.2400232355503921
dominick,icdn,boot3,17215,44,4362,0.2559395875689805
dominick,icdn,boot4,17215,1,4147,0.2409526575660761
dominick,icdn,boot5,17215,40,4032,0.2365379029915771
dominick,icdn,boot6,17215,0,3801,0.2207958176009294
dominick,icdn,boot7,17215,42,4103,0.2407783909381353
dominick,icdn,boot8,17215,40,4147,0.2432181237293058
dominick,icdn,boot9,17215,5,3801,0.2210862619808306
dominick,icdn,boot10,17215,40,3891,0.2283473714783619
dominick,icdn,boot11,17215,50,4304,0.2529189660180075
dominick,icdn,boot12,17215,44,3826,0.2248039500435666
dominick,icdn,boot13,17215,0,3826,0.2222480395004356
dominick,icdn,boot14,17215,29,4147,0.2425791460935231
dominick,icdn,boot15,17215,40,4195,0.2460063897763578
dominick,icdn,boot16,17215,42,6272,0.3667731629392971
dominick,icdn,boot17,17215,75,3826,0.2266047051989544
dominick,icdn,boot18,17215,42,6562,0.3836189369735696
dominick,icdn,boot19,17215,28,4048,0.2367702584954981
dominick,icdn,boot20,17215,41,4887,0.2862619808306709
dominick,icdn,boot21,17215,40,4195,0.2460063897763578
dominick,icdn,boot22,17215,40,4032,0.2365379029915771
dominick,icdn,boot23,17215,40,4057,0.2379901248910833
dominick,icdn,boot24,17215,1,3826,0.2223061283764159
dominick,icdn,boot25,17215,4,3801,0.2210281731048504
dominick,icdn,boot26,17215,5,3826,0.2225384838803369
dominick,icdn,boot27,17215,42,4378,0.256752831832704
dominick,icdn,boot28,17215,42,4625,0.2711007841998257
dominick,icdn,boot29,17215,42,3826,0.2246877722916061
dominick,icdn,boot30,17215,40,4057,0.2379901248910833
dominick,icdn,boot31,17215,77,4057,0.2401394133023526
dominick,icdn,boot32,17215,40,4057,0.2379901248910833
dominick,icdn,boot33,17215,45,4887,0.2864943363345919
dominick,icdn,boot34,17215,0,3801,0.2207958176009294
dominick,icdn,boot35,17215,44,4396,0.257914609352309
dominick,icdn,boot36,17215,77,4304,0.2544873656694743
dominick,icdn,boot37,17215,77,4470,0.2641301190821957
dominick,icdn,boot38,17215,40,4306,0.2524542550101655
dominick,icdn,boot39,17215,44,4408,0.258611675864072
dominick,icdn,boot40,17215,6,3801,0.2211443508568109
dominick,icdn,boot41,17215,44,6364,0.3722335172814406
dominick,icdn,boot42,17215,0,3801,0.2207958176009294
dominick,icdn,boot43,17215,40,4149,0.2433343014812663
dominick,icdn,boot44,17215,37,7516,0.4387452802788266
dominick,icdn,boot45,17215,40,3826,0.2245715945396456
dominick,icdn,boot46,17215,2,4255,0.2472843450479233
dominick,icdn,boot47,17215,44,4149,0.2435666569851873
dominick,icdn,boot48,17215,84,4171,0.2471681672959628
dominick,icdn,boot49,17215,0,3801,0.2207958176009294
dominick,icdn,boot50,17215,28,3891,0.2276503049665989
dominick,icdn,boot51,17215,42,4304,0.2524542550101655
dominick,icdn,boot52,17215,40,3891,0.2283473714783619
dominick,icdn,boot53,17215,75,4177,0.246993900668022
dominick,icdn,boot54,17215,86,4103,0.2433343014812663
dominick,icdn,boot55,17215,42,4304,0.2524542550101655
dominick,icdn,boot56,17215,75,6303,0.3704908510020331
dominick,icdn,boot57,17215,61,5208,0.3060702875399361
dominick,icdn,boot58,17215,36,4211,0.2467034562881208
dominick,icdn,boot59,17215,40,4057,0.2379901248910833
dominick,icdn,boot60,17215,44,4057,0.2382224803950043
dominick,icdn,boot61,17215,44,3826,0.2248039500435666
dominick,icdn,boot62,17215,44,4331,0.2541388324135928
dominick,icdn,boot63,17215,40,6272,0.3666569851873366
dominick,icdn,boot64,17215,0,3826,0.2222480395004356
dominick,icdn,boot65,17215,92,4057,0.2410107464420563
dominick,icdn,boot66,17215,41,4212,0.2470519895440023
dominick,icdn,boot67,17215,262,4887,0.2990996224223061
dominick,icdn,boot68,17215,40,4057,0.2379901248910833
dominick,icdn,boot69,17215,40,4057,0.2379901248910833
dominick,icdn,boot70,17215,0,3826,0.2222480395004356
dominick,icdn,boot71,17215,1,3801,0.2208539064769096
dominick,icdn,boot72,17215,0,3826,0.2222480395004356
dominick,icdn,boot73,17215,40,4057,0.2379901248910833
dominick,icdn,boot74,17215,44,4304,0.252570432762126
dominick,icdn,boot75,17215,229,4887,0.2971826895149579
dominick,icdn,boot76,17215,195,3801,0.2321231484170781
dominick,icdn,boot77,17215,77,4378,0.2587859424920127
dominick,icdn,boot78,17215,1,3801,0.2208539064769096
dominick,icdn,boot79,17215,2,3801,0.2209119953528899
dominick,icdn,boot80,17215,77,4362,0.2578565204763288
dominick,icdn,boot81,17215,40,4194,0.2459483009003776
dominick,icdn,boot82,17215,77,4057,0.2401394133023526
dominick,icdn,boot83,17215,40,4212,0.246993900668022
dominick,icdn,boot84,17215,1,3826,0.2223061283764159
dominick,icdn,boot85,17215,40,4057,0.2379901248910833
dominick,icdn,boot86,17215,40,4057,0.2379901248910833
dominick,icdn,boot87,17215,40,4212,0.246993900668022
dominick,icdn,boot88,17215,4,3826,0.2224803950043566
dominick,icdn,boot89,17215,40,4057,0.2379901248910833
dominick,icdn,boot90,17215,40,3891,0.2283473714783619
dominick,icdn,boot91,17215,42,4304,0.2524542550101655
dominick,icdn,boot92,17215,40,6272,0.3666569851873366
dominick,icdn,boot93,17215,40,4057,0.2379901248910833
dominick,icdn,boot94,17215,199,3801,0.2323555039209991
dominick,icdn,boot95,17215,36,6593,0.3850711588730758
dominick,icdn,boot96,17215,2,3891,0.2261399941911124
dominick,icdn,boot97,17215,40,4378,0.2566366540807435
dominick,icdn,boot98,17215,40,3891,0.2283473714783619
dominick,icdn,boot99,17215,77,3826,0.2267208829509149
dominick,icdn,1,43285,1131,8524,0.2230564860806284
dominick,icdn,holdout,17215,41,3891,0.2284054603543421
dominick,icdn,boot0,17215,40,3891,0.2283473714783619
