store_code,n_obs,n_weeks,n_products,total_units,week_coverage
10019,2742,78,45,39179.0,1.0
11757,3575,78,54,80901.0,1.0
11761,3778,78,54,84268.0,1.0
11967,2528,78,44,30782.0,1.0
11993,3408,78,47,76617.0,1.0
12011,3056,78,47,44252.0,1.0
13609,3845,78,54,97852.0,1.0
13827,3202,78,48,57766.0,1.0
13837,3200,78,47,59479.0,1.0
13853,3203,78,49,42299.0,1.0
13859,3287,78,49,50039.0,1.0
15531,3411,78,53,51863.0,1.0
15541,3603,78,53,54294.0,1.0
15547,3739,78,54,67056.0,1.0
15755,2647,78,44,30432.0,1.0
15763,3160,78,48,35102.0,1.0
15765,3337,78,48,49135.0,1.0
17599,2931,78,46,39781.0,1.0
17615,3150,78,46,46465.0,1.0
17627,3331,78,48,62877.0,1.0
19265,3740,78,54,102939.0,1.0
19521,3261,78,49,44183.0,1.0
19523,3079,78,48,60476.0,1.0
19533,3288,78,46,64168.0,1.0
21213,3650,78,54,49011.0,1.0
21221,3470,78,54,67926.0,1.0
21227,3826,78,54,116077.0,1.0
21237,3794,78,54,118066.0,1.0
21479,3115,78,49,51406.0,1.0
21485,3006,78,46,36172.0,1.0
2277,3941,78,54,177506.0,1.0
2279,3584,78,52,70628.0,1.0
2281,3884,78,54,122923.0,1.0
23055,2326,78,43,23626.0,1.0
23061,3737,78,54,77180.0,1.0
23067,3466,78,52,51522.0,1.0
23075,3752,78,54,83338.0,1.0
23327,3193,78,49,45009.0,1.0
23345,3331,78,49,45923.0,1.0
23349,3016,78,48,43777.0,1.0
2495,3216,78,49,50769.0,1.0
24991,3912,78,54,140280.0,1.0
25001,3525,78,52,68498.0,1.0
25021,3575,78,54,72464.0,1.0
25027,3886,78,54,168746.0,1.0
2505,3151,78,49,35969.0,1.0
2513,3503,78,48,88793.0,1.0
25229,3391,78,49,79058.0,1.0
2523,2617,78,45,33542.0,1.0
25233,3059,78,49,52998.0,1.0
25253,2880,78,45,40306.0,1.0
25261,3194,78,46,66598.0,1.0
2541,2878,78,44,27825.0,1.0
26973,3797,78,54,86941.0,1.0
26981,3598,78,54,72099.0,1.0
26983,3330,78,51,80721.0,1.0
27175,3281,78,49,49414.0,1.0
28909,3826,78,54,93436.0,1.0
29159,3293,78,48,51436.0,1.0
367,2886,78,49,38606.0,1.0
387,2361,53,53,65927.0,0.6794871794871795
389,3797,78,54,116922.0,1.0
4245,3753,78,54,82549.0,1.0
4259,3378,78,54,68241.0,1.0
4489,3355,78,48,54888.0,1.0
4503,3376,78,48,80950.0,1.0
4521,3042,78,49,33676.0,1.0
613,3399,78,49,69481.0,1.0
6179,3811,78,54,94112.0,1.0
6187,3449,78,51,88211.0,1.0
623,3323,78,49,52319.0,1.0
6379,3424,78,49,72430.0,1.0
6431,3054,78,46,40674.0,1.0
8035,1903,78,39,20553.0,1.0
8041,3693,78,54,54798.0,1.0
8263,3329,78,49,51348.0,1.0
9825,3842,78,54,132620.0,1.0
