dataset,model,fold_or_boot_id,n_observed_cells,n_below_support,n_above_support,share_outside_support
dunnhumby,icdn,1,19736,1105,921,0.1026550466153222
dunnhumby,icdn,2,19718,1128,5717,0.3471447408459275
dunnhumby,icdn,3,16529,620,4524,0.311210599552302
dunnhumby,icdn,holdout,21059,793,6831,0.3620304857780521
dunnhumby,icdn,boot0,21059,763,5918,0.3172515314117479
dunnhumby,icdn,boot1,21059,744,5920,0.316444275606629
dunnhumby,icdn,boot2,21059,1021,3747,0.2264115105180683
dunnhumby,icdn,boot3,21059,1215,5284,0.3086091457334156
dunnhumby,icdn,boot4,21059,1295,7164,0.4016809915000712
dunnhumby,icdn,boot5,21059,825,5284,0.290089747851275
dunnhumby,icdn,boot6,21059,794,6063,0.3256090032765089
dunnhumby,icdn,boot7,21059,1233,5931,0.3401870934042452
dunnhumby,icdn,boot8,21059,926,3851,0.2268388812384253
dunnhumby,icdn,boot9,21059,803,5932,0.3198157557338905
dunnhumby,icdn,boot10,21059,956,6868,0.3715276128970986
dunnhumby,icdn,boot11,21059,942,5302,0.2965003086566313
dunnhumby,icdn,boot12,21059,694,3942,0.2201434066194976
dunnhumby,icdn,boot13,21059,1187,6109,0.3464551973028159
dunnhumby,icdn,boot14,21059,1091,3747,0.2297355050097345
dunnhumby,icdn,boot15,21059,958,5920,0.3266062016240087
dunnhumby,icdn,boot16,21059,1133,6927,0.3827342228975735
dunnhumby,icdn,boot17,21059,899,5920,0.32380454912389
dunnhumby,icdn,boot18,21059,781,6188,0.3309273944631749
dunnhumby,icdn,boot19,21059,892,6831,0.3667315637019801
dunnhumby,icdn,boot20,21059,914,5284,0.2943159694192507
dunnhumby,icdn,boot21,21059,719,5284,0.2850562704781803
dunnhumby,icdn,boot22,21059,814,5302,0.2904221473004416
dunnhumby,icdn,boot23,21059,1478,5930,0.3517735884894819
dunnhumby,icdn,boot24,21059,1032,3942,0.2361935514506861
dunnhumby,icdn,boot25,21059,1259,6791,0.3822593665416212
dunnhumby,icdn,boot26,21059,1438,7172,0.4088513224749513
dunnhumby,icdn,boot27,21059,911,6206,0.3379552685312693
dunnhumby,icdn,boot28,21059,1179,6180,0.3494467923453155
dunnhumby,icdn,boot29,21059,969,3747,0.2239422574671161
dunnhumby,icdn,boot30,21059,991,5944,0.329312882852937
dunnhumby,icdn,boot31,21059,1057,5919,0.3312597939123415
dunnhumby,icdn,boot32,21059,779,5930,0.3185811292084144
dunnhumby,icdn,boot33,21059,914,5920,0.3245168336578185
dunnhumby,icdn,boot34,21059,1034,5966,0.3323994491666271
dunnhumby,icdn,boot35,21059,871,6865,0.3673488769647182
dunnhumby,icdn,boot36,21059,1076,5920,0.3322095066242461
dunnhumby,icdn,boot37,21059,1004,6064,0.3356284723871029
dunnhumby,icdn,boot38,21059,885,6831,0.3663991642528135
dunnhumby,icdn,boot39,21059,773,6868,0.3628377415831711
dunnhumby,icdn,boot40,21059,1023,5920,0.3296927679376988
dunnhumby,icdn,boot41,21059,1315,5302,0.314212450733653
dunnhumby,icdn,boot42,21059,704,5284,0.2843439859442518
dunnhumby,icdn,boot43,21059,892,6831,0.3667315637019801
dunnhumby,icdn,boot44,21059,1154,4273,0.2577045443753264
dunnhumby,icdn,boot45,21059,894,6063,0.3303575668360321
dunnhumby,icdn,boot46,21059,1248,7172,0.3998290517118572
dunnhumby,icdn,boot47,21059,1154,4273,0.2577045443753264
dunnhumby,icdn,boot48,21059,1363,5716,0.3361508143786504
dunnhumby,icdn,boot49,21059,821,5032,0.2779334251388954
dunnhumby,icdn,boot50,21059,1065,6743,0.3707678427275749
dunnhumby,icdn,boot51,21059,1320,5918,0.3437010304382924
dunnhumby,icdn,boot52,21059,1123,3942,0.2405147442898523
dunnhumby,icdn,boot53,21059,997,5349,0.301343843487345
dunnhumby,icdn,boot54,21059,877,5284,0.2925590009022271
dunnhumby,icdn,boot55,21059,1046,4273,0.2525760957310413
dunnhumby,icdn,boot56,21059,857,6854,0.3661617360748374
dunnhumby,icdn,boot57,21059,770,6206,0.3312597939123415
dunnhumby,icdn,boot58,21059,973,5302,0.2979723633600836
dunnhumby,icdn,boot59,21059,1001,3747,0.2254617978061636
dunnhumby,icdn,boot60,21059,841,6743,0.3601310603542428
dunnhumby,icdn,boot61,21059,1268,6323,0.3604634598034095
dunnhumby,icdn,boot62,21059,923,6063,0.3317346502682938
dunnhumby,icdn,boot63,21059,1001,3747,0.2254617978061636
dunnhumby,icdn,boot64,21059,890,4182,0.2408471437390189
dunnhumby,icdn,boot65,21059,776,3942,0.2240372287383066
dunnhumby,icdn,boot66,21059,800,3942,0.2251768839925922
dunnhumby,icdn,boot67,21059,850,3671,0.2146825585260458
dunnhumby,icdn,boot68,21059,873,6789,0.3638349399306709
dunnhumby,icdn,boot69,21059,1597,7084,0.4122228026022128
dunnhumby,icdn,boot70,21059,792,2732,0.1673393798375991
dunnhumby,icdn,boot71,21059,1278,5920,0.3418016050144831
dunnhumby,icdn,boot72,21059,1245,5036,0.2982572771736549
dunnhumby,icdn,boot73,21059,1135,6927,0.3828291941687639
dunnhumby,icdn,boot74,21059,908,5930,0.3247067762001994
dunnhumby,icdn,boot75,21059,1198,3942,0.2440761669594947
dunnhumby,icdn,boot76,21059,803,3747,0.2160596419583076
dunnhumby,icdn,boot77,21059,1219,6789,0.3802649698466214
dunnhumby,icdn,boot78,21059,889,6823,0.3662092217104326
dunnhumby,icdn,boot79,21059,1311,5349,0.316254333064248
dunnhumby,icdn,boot80,21059,888,3747,0.2200959209839023
dunnhumby,icdn,boot81,21059,885,3852,0.224939455814616
dunnhumby,icdn,boot82,21059,1074,3747,0.2289282492046156
dunnhumby,icdn,boot83,21059,1080,3670,0.2255567690773541
dunnhumby,icdn,boot84,21059,1206,6896,0.3847286195925732
dunnhumby,icdn,boot85,21059,1431,6831,0.3923263212878104
dunnhumby,icdn,boot86,21059,1190,5930,0.338097725438055
dunnhumby,icdn,boot87,21059,864,4182,0.2396125172135429
dunnhumby,icdn,boot88,21059,1068,4182,0.2492995868749703
dunnhumby,icdn,boot89,21059,1030,5919,0.3299776817512702
dunnhumby,icdn,boot90,21059,1165,5941,0.3374329265397217
dunnhumby,icdn,boot91,21059,827,5036,0.2784082814948478
dunnhumby,icdn,boot92,21059,773,5964,0.3199107270050809
dunnhumby,icdn,boot93,21059,860,4273,0.2437437675103281
dunnhumby,icdn,boot94,21059,756,2990,0.1778811909397407
dunnhumby,icdn,boot95,21059,773,6868,0.3628377415831711
dunnhumby,icdn,boot96,21059,941,6868,0.3708153283631701
dunnhumby,icdn,boot97,21059,729,3747,0.2125457049242604
dunnhumby,icdn,boot98,21059,874,4182,0.2400873735694952
dunnhumby,icdn,boot99,21059,768,4273,0.23937508903556673
