product_code,category,n_obs,positive_obs,total_units,mean_units,n_stores,n_weeks,unique_prices,mean_price,std_price,promo_rate,positive_rate,price_cv
FOODS_3_156,FOODS_3,2614,2614,43654.0,16.700077,10,277,9,3.8667867,0.15388401,0.001530221882172915,1.0,0.039796352
FOODS_3_697,FOODS_3,2704,2704,100313.0,37.098003,10,277,6,3.041435,0.16969627,0.04326923076923077,1.0,0.055794805
FOODS_3_473,FOODS_3,2615,2615,99791.0,38.160995,10,277,6,3.8685658,0.14603679,0.0,1.0,0.037749596
FOODS_3_668,FOODS_3,2770,2770,138544.0,50.015884,10,277,3,1.6045488,0.076324634,0.0,1.0,0.04756766
FOODS_3_795,FOODS_3,1395,1395,29500.0,21.146954,10,140,2,2.9748387,0.039023574,0.0,1.0,0.013117879
FOODS_3_586,FOODS_3,2770,2769,931155.0,336.15704,10,277,3,1.5944043,0.07215222,0.0,0.9996389891696751,0.0452534
FOODS_3_555,FOODS_3,2770,2769,497266.0,179.51842,10,277,3,1.5943682,0.072184436,0.0,0.9996389891696751,0.045274634
FOODS_3_080,FOODS_3,2770,2769,265533.0,95.86029,10,277,3,1.5943682,0.072184436,0.0,0.9996389891696751,0.045274634
FOODS_3_661,FOODS_3,1081,1080,28493.0,26.358002,10,109,1,3.28,0.0,0.0,0.9990749306197965,0.0
FOODS_1_200,FOODS_1,1007,1006,37042.0,36.784508,10,104,2,0.9722542,0.015814003,0.0,0.9990069513406157,0.016265295
FOODS_3_694,FOODS_3,2770,2767,395434.0,142.75595,10,277,3,1.6045127,0.07631259,0.0,0.9989169675090253,0.047561225
FOODS_3_252,FOODS_3,2770,2767,572962.0,206.84549,10,277,2,1.5192779,0.048845682,0.0,0.9989169675090253,0.03215059
FOODS_3_499,FOODS_3,1549,1547,125783.0,81.20271,10,156,2,2.5042608,0.015415811,0.0,0.9987088444157521,0.006155833
HOUSEHOLD_1_334,HOUSEHOLD_1,2075,2072,173817.0,83.76723,10,208,3,0.97638553,0.006988484,0.0,0.9985542168674699,0.0071575046
FOODS_3_458,FOODS_3,2754,2750,168203.0,61.07589,10,277,6,1.9022949,0.047406778,0.0,0.9985475671750181,0.024920836
HOUSEHOLD_1_473,HOUSEHOLD_1,1852,1849,58995.0,31.854752,10,196,4,2.0901403,0.15337363,0.0,0.9983801295896328,0.07337958
HOUSEHOLD_1_306,HOUSEHOLD_1,1151,1149,23450.0,20.373589,10,116,2,1.9691572,0.028591312,0.0008688097306689834,0.998262380538662,0.0145195685
FOODS_3_228,FOODS_3,2770,2765,142370.0,51.397114,10,277,3,1.5944043,0.07215222,0.0,0.9981949458483754,0.0452534
FOODS_3_714,FOODS_3,2770,2764,401584.0,144.97617,10,277,2,1.5230325,0.04952111,0.0,0.9978339350180505,0.032514807
FOODS_3_232,FOODS_3,2704,2698,33390.0,12.348372,10,277,8,3.0405104,0.17041536,0.04400887573964497,0.9977810650887574,0.056048274
HOUSEHOLD_1_019,HOUSEHOLD_1,2072,2067,125446.0,60.543438,10,208,3,0.9763755,0.00699314,0.0,0.9975868725868726,0.007162347
FOODS_3_226,FOODS_3,2770,2763,367868.0,132.80434,10,277,3,1.6045488,0.076324634,0.0,0.9974729241877256,0.04756766
HOUSEHOLD_1_197,HOUSEHOLD_1,2770,2759,27906.0,10.0743685,10,277,8,4.8640327,0.15800121,0.009386281588447653,0.996028880866426,0.032483585
HOBBIES_1_148,HOBBIES_1,1629,1622,15403.0,9.455494,10,164,1,4.88,0.0,0.0,0.9957028852056476,0.0
HOUSEHOLD_1_459,HOUSEHOLD_1,2076,2066,172832.0,83.25241,10,208,3,0.97638726,0.00698725,0.0,0.9951830443159922,0.007156228
HOUSEHOLD_1_122,HOUSEHOLD_1,2459,2447,34524.0,14.039854,10,247,2,2.2618868,0.017276356,0.005286701911346075,0.9951199674664498,0.0076380284
HOUSEHOLD_1_539,HOUSEHOLD_1,2444,2432,27534.0,11.265958,10,246,5,3.6590714,0.32194275,0.005319148936170213,0.9950900163666121,0.08798482
FOODS_1_085,FOODS_1,2770,2756,150937.0,54.48989,10,277,4,0.97641873,0.014911251,0.0,0.9949458483754513,0.015271369
FOODS_1_046,FOODS_1,2770,2756,127730.0,46.11191,10,277,4,0.97642595,0.014917826,0.0,0.9949458483754513,0.01527799
HOUSEHOLD_1_262,HOUSEHOLD_1,1601,1592,44742.0,27.946283,10,161,1,0.97,0.0,0.0,0.9943785134291068,0.0
HOUSEHOLD_1_536,HOUSEHOLD_1,1180,1173,18219.0,15.439831,10,118,3,2.958407,0.0343435,0.0,0.9940677966101695,0.011608781
FOODS_1_018,FOODS_1,2770,2753,136059.0,49.118774,10,277,4,0.9747942,0.017530173,0.0,0.9938628158844766,0.01798346
HOUSEHOLD_1_409,HOUSEHOLD_1,1853,1841,106643.0,57.551537,10,196,3,2.9610794,0.03169986,0.07015650296815974,0.9935240151106314,0.010705508
HOUSEHOLD_1_225,HOUSEHOLD_1,1847,1835,38280.0,20.7255,10,196,2,1.6753438,0.08507201,0.0,0.9935029778018408,0.05077884
HOUSEHOLD_1_247,HOUSEHOLD_1,2762,2743,62340.0,22.5706,10,277,1,0.97,0.0,0.0,0.9931209268645909,0.0
FOODS_3_756,FOODS_3,2754,2735,114233.0,41.47894,10,277,6,2.6172912,0.10975688,0.1318082788671024,0.9931009440813362,0.041935295
HOUSEHOLD_1_339,HOUSEHOLD_1,2010,1996,116846.0,58.13234,10,202,3,0.9762687,0.0070698448,0.0,0.9930348258706467,0.0072417
HOUSEHOLD_1_465,HOUSEHOLD_1,2070,2055,119443.0,57.70193,10,208,4,0.97613525,0.012596318,0.0004830917874396135,0.9927536231884058,0.012904275
FOODS_3_178,FOODS_3,2421,2403,40892.0,16.890541,10,277,9,1.9447708,0.22165796,0.0107393638992152,0.9925650557620818,0.11397639
HOUSEHOLD_1_072,HOUSEHOLD_1,2741,2720,70263.0,25.634075,10,277,3,8.004779,0.11165401,0.05873768697555637,0.9923385625684057,0.013948419
HOUSEHOLD_1_447,HOUSEHOLD_1,2070,2054,113388.0,54.77681,10,208,3,0.9763768,0.0069946614,0.0,0.9922705314009662,0.0071638958
HOUSEHOLD_1_079,HOUSEHOLD_1,1929,1914,19592.0,10.156558,10,193,3,4.8613687,0.10286207,0.04250907205806117,0.9922239502332815,0.021159075
HOUSEHOLD_1_109,HOUSEHOLD_1,2770,2747,30846.0,11.13574,10,277,6,3.7562492,0.30096844,0.00036101083032490973,0.9916967509025271,0.08012473
FOODS_3_377,FOODS_3,2770,2747,276702.0,99.89242,10,277,4,1.592527,0.072551645,0.0,0.9916967509025271,0.04555756
HOUSEHOLD_1_517,HOUSEHOLD_1,1737,1722,65744.0,37.849167,10,174,2,0.97159475,0.02775472,0.07484168105929764,0.9913644214162349,0.028566148
