product_code,category,n_obs,positive_obs,total_units,mean_units,n_stores,n_weeks,unique_prices,mean_price,std_price,promo_rate,positive_rate,price_cv
FOODS_3_697,FOODS_3,1324,1324,45488.0,34.356495,10,139,5,3.0885348,0.23328237,0.08836858006042296,1.0,0.07553173
FOODS_3_156,FOODS_3,1234,1234,23932.0,19.39384,10,139,5,3.7550569,0.114837795,0.0016207455429497568,1.0,0.030582173
FOODS_3_473,FOODS_3,1235,1235,52255.0,42.31174,10,139,4,3.7568424,0.10294566,0.0,1.0,0.027402177
FOODS_3_668,FOODS_3,1390,1390,75039.0,53.984894,10,139,2,1.5404316,0.04891731,0.0,1.0,0.031755585
HOUSEHOLD_1_019,HOUSEHOLD_1,692,692,51810.0,74.86994,10,70,1,0.9800001,0.0,0.0,1.0,0.0
HOUSEHOLD_1_225,HOUSEHOLD_1,467,467,12470.0,26.702356,10,58,1,1.64,0.0,0.0,1.0,0.0
FOODS_3_282,FOODS_3,94,94,11239.0,119.56383,10,11,1,2.5,0.0,0.0,1.0,0.0
FOODS_3_499,FOODS_3,169,169,11141.0,65.92308,10,18,1,2.5,0.0,0.0,1.0,0.0
HOUSEHOLD_1_385,HOUSEHOLD_1,175,175,5058.0,28.902857,10,19,1,1.97,0.0,0.0,1.0,0.0
HOUSEHOLD_1_202,HOUSEHOLD_1,233,233,4174.0,17.914164,10,25,1,1.98,0.0,0.0,1.0,0.0
HOUSEHOLD_1_217,HOUSEHOLD_1,290,290,4076.0,14.055172,10,29,1,1.9699999,0.0,0.0,1.0,0.0
FOODS_3_034,FOODS_3,52,52,839.0,16.134615,10,6,1,2.5,0.0,0.0,1.0,0.0
FOODS_3_437,FOODS_3,54,54,507.0,9.388889,10,6,1,1.0,0.0,0.0,1.0,0.0
HOUSEHOLD_1_480,HOUSEHOLD_1,58,58,485.0,8.362069,10,7,1,2.77,0.0,0.0,1.0,0.0
FOODS_3_604,FOODS_3,29,29,265.0,9.137931,10,4,1,2.5,0.0,0.0,1.0,0.0
FOODS_3_058,FOODS_3,26,26,143.0,5.5,10,4,1,1.98,0.0,0.0,1.0,0.0
HOBBIES_1_139,HOBBIES_1,32,32,137.0,4.28125,10,4,1,2.63,0.0,0.0,1.0,0.0
FOODS_2_021,FOODS_2,1102,1102,89745.0,81.43829,9,139,5,0.75259525,0.11451107,0.0,1.0,0.15215492
FOODS_3_170,FOODS_3,42,42,234.0,5.571429,9,6,2,1.9447619,0.22836897,0.023809523809523808,1.0,0.11742773
FOODS_2_028,FOODS_2,52,52,463.0,8.903846,9,6,1,3.78,0.0,0.0,1.0,0.0
FOODS_3_795,FOODS_3,16,16,133.0,8.3125,9,2,1,2.68,0.0,0.0,1.0,0.0
FOODS_3_110,FOODS_3,18,18,43.0,2.3888888,9,3,1,8.68,0.0,0.0,1.0,0.0
FOODS_3_051,FOODS_3,23,23,205.0,8.913043,8,5,1,1.98,0.0,0.0,1.0,0.0
FOODS_3_532,FOODS_3,14,14,107.0,7.642857,8,2,1,2.68,0.0,0.0,1.0,0.0
FOODS_3_439,FOODS_3,13,13,92.0,7.076923,8,2,1,2.68,0.0,0.0,1.0,0.0
HOUSEHOLD_1_066,HOUSEHOLD_1,470,470,13455.0,28.627659,7,74,2,3.0199149,0.054838277,0.0,1.0,0.018158881
FOODS_3_673,FOODS_3,30,30,220.0,7.3333335,7,5,1,5.98,0.0,0.0,1.0,0.0
FOODS_3_641,FOODS_3,8,8,28.0,3.5,7,2,1,2.0,0.0,0.0,1.0,0.0
HOUSEHOLD_1_076,HOUSEHOLD_1,9,9,19.0,2.1111112,6,2,2,4.8433332,0.41,0.0,1.0,0.084652446
FOODS_3_553,FOODS_3,7,7,17.0,2.4285715,6,2,1,2.5,0.0,0.0,1.0,0.0
HOUSEHOLD_1_449,HOUSEHOLD_1,157,157,1424.0,9.070064,5,32,2,14.951019,0.23782994,0.006369426751592357,1.0,0.015907273
FOODS_3_344,FOODS_3,7,7,55.0,7.857143,5,2,1,2.0,0.0,0.0,1.0,0.0
FOODS_2_125,FOODS_2,74,74,704.0,9.513514,4,25,2,2.3044593,0.119050376,0.0,1.0,0.05166087
HOUSEHOLD_1_250,HOUSEHOLD_1,2,2,4.0,2.0,2,1,1,2.68,0.0,0.0,1.0,0.0
FOODS_3_586,FOODS_3,1390,1389,503308.0,362.09207,10,139,2,1.5404316,0.04891731,0.0,0.9992805755395684,0.031755585
FOODS_3_555,FOODS_3,1390,1389,285129.0,205.12878,10,139,2,1.5403597,0.04893261,0.0,0.9992805755395684,0.031767
FOODS_3_080,FOODS_3,1390,1389,152990.0,110.06475,10,139,2,1.5403597,0.04893261,0.0,0.9992805755395684,0.031767
FOODS_3_804,FOODS_3,1333,1332,109447.0,82.105774,10,139,1,1.88,0.0,0.0,0.9992498124531133,0.0
HOUSEHOLD_1_122,HOUSEHOLD_1,1079,1078,18113.0,16.78684,10,109,2,2.2643,0.025887718,0.012048192771084338,0.9990732159406858,0.0114329895
FOODS_3_785,FOODS_3,1118,1116,51063.0,45.673523,10,139,10,3.2412252,0.32593563,0.18336314847942756,0.998211091234347,0.10055939
FOODS_3_202,FOODS_3,1390,1387,163148.0,117.372665,10,139,9,4.1649137,0.21471997,0.13884892086330936,0.9978417266187051,0.051554482
