dataset,model,fold_or_boot_id,n_observed_cells,n_below_support,n_above_support,share_outside_support
walmart,icdn,2,7268,638,1654,0.3153549807374793
walmart,icdn,3,7297,240,2635,0.3939975332328354
walmart,icdn,boot1,8453,475,678,0.1364012776529043
walmart,icdn,boot2,8453,477,1932,0.2849875783745416
walmart,icdn,boot3,8453,293,551,0.0998462084467053
walmart,icdn,boot4,8453,622,1767,0.2826215544777002
walmart,icdn,boot5,8453,293,1441,0.2051342718561457
walmart,icdn,boot6,8453,630,2923,0.4203241452738672
walmart,icdn,boot7,8453,293,551,0.0998462084467053
walmart,icdn,boot8,8453,293,1478,0.2095114160653022
walmart,icdn,boot9,8453,293,3343,0.4301431444457589
walmart,icdn,boot10,8453,607,551,0.1369927836271146
walmart,icdn,boot11,8453,293,3347,0.4306163492251271
walmart,icdn,boot12,8453,455,679,0.134153554950905
walmart,icdn,boot13,8453,784,1459,0.2653495800307583
walmart,icdn,boot14,8453,440,679,0.132379037028274
walmart,icdn,boot15,8453,288,3054,0.3953625931621909
walmart,icdn,boot16,8453,475,1184,0.1962616822429906
walmart,icdn,boot17,8453,470,1440,0.2259552821483497
walmart,icdn,boot18,8453,288,678,0.1142789542174376
walmart,icdn,boot19,8453,657,551,0.142907843369218
walmart,icdn,boot20,8453,475,1767,0.2652312788359162
walmart,icdn,boot21,8453,473,2923,0.4017508576836626
walmart,icdn,boot22,8453,455,3052,0.4148822903111321
walmart,icdn,boot23,8453,470,3054,0.4168934106234473
walmart,icdn,boot24,8453,470,1349,0.2151898734177215
walmart,icdn,boot25,8453,475,2923,0.4019874600733467
walmart,icdn,boot26,8453,627,680,0.1546196616585827
walmart,icdn,boot27,8453,473,1330,0.2132970543002484
walmart,icdn,boot28,8453,477,1568,0.2419259434520288
walmart,icdn,boot29,8453,789,551,0.158523601088371
walmart,icdn,boot30,8453,445,551,0.1178279900626996
walmart,icdn,boot31,8453,470,678,0.1358097716786939
walmart,icdn,boot32,8453,607,679,0.1521353365668993
walmart,icdn,boot33,8453,647,2923,0.4223352655861824
walmart,icdn,boot34,8453,617,551,0.1381757955755353
walmart,icdn,boot35,8453,477,2923,0.4022240624630309
walmart,icdn,boot36,8453,293,2923,0.3804566426120904
walmart,icdn,boot37,8453,647,2923,0.4223352655861824
walmart,icdn,boot38,8453,473,716,0.1406601206672187
walmart,icdn,boot39,8453,635,551,0.1403052170826925
walmart,icdn,boot40,8453,625,1312,0.2291494144090855
walmart,icdn,boot41,8453,470,551,0.1207855199337513
walmart,icdn,boot42,8453,817,551,0.1618360345439489
walmart,icdn,boot43,8453,293,2923,0.3804566426120904
walmart,icdn,boot44,8453,665,1184,0.2187389092629835
walmart,icdn,boot45,8453,629,551,0.1395954099136401
walmart,icdn,boot46,8453,473,1349,0.2155447770022477
walmart,icdn,boot47,8453,473,551,0.1211404235182775
walmart,icdn,boot48,8453,293,1184,0.1747308647817343
walmart,icdn,boot49,8453,293,551,0.0998462084467053
walmart,icdn,boot50,8453,477,2923,0.4022240624630309
walmart,icdn,boot51,8453,473,678,0.1361646752632201
walmart,icdn,boot52,8453,629,679,0.1547379628534248
walmart,icdn,boot53,8453,293,3052,0.3957174967467171
walmart,icdn,boot54,8453,659,2923,0.4237548799242872
walmart,icdn,boot55,8453,293,786,0.1276469892345912
walmart,icdn,boot56,8453,625,2923,0.4197326392996569
walmart,icdn,boot57,8453,657,1312,0.2329350526440317
walmart,icdn,boot58,8453,806,2923,0.4411451555660712
walmart,icdn,boot59,8453,288,551,0.0992547024724949
walmart,icdn,boot60,8453,632,3055,0.4361765053827043
walmart,icdn,boot61,8453,293,3050,0.395480894357033
walmart,icdn,boot62,8453,475,551,0.1213770259079616
walmart,icdn,boot63,8453,468,3050,0.4161836034543948
walmart,icdn,boot64,8453,635,3051,0.4360582041878623
walmart,icdn,boot65,8453,445,551,0.1178279900626996
walmart,icdn,boot66,8453,455,551,0.1190110020111203
walmart,icdn,boot67,8453,293,551,0.0998462084467053
walmart,icdn,boot68,8453,293,551,0.0998462084467053
walmart,icdn,boot69,8453,455,551,0.1190110020111203
walmart,icdn,boot70,8453,477,1184,0.1964982846326748
walmart,icdn,boot71,8453,450,2923,0.399029930202295
walmart,icdn,boot72,8453,802,1184,0.2349461729563468
walmart,icdn,boot73,8453,293,1461,0.2075002957529871
walmart,icdn,boot74,8453,814,2923,0.4420915651248077
walmart,icdn,boot75,8453,455,1313,0.209156512480776
walmart,icdn,boot76,8453,802,2923,0.4406719507867029
walmart,icdn,boot77,8453,635,1312,0.2303324263575062
walmart,icdn,boot78,8453,622,2923,0.4193777357151307
walmart,icdn,boot79,8453,477,3050,0.4172483142079735
walmart,icdn,boot80,8453,293,551,0.0998462084467053
walmart,icdn,boot81,8453,293,806,0.1300130131314326
walmart,icdn,boot82,8453,622,551,0.1387673015497456
walmart,icdn,boot83,8453,652,551,0.1423163373950076
walmart,icdn,boot84,8453,804,3055,0.45652431089554
walmart,icdn,boot85,8453,473,1312,0.2111676327930912
walmart,icdn,boot86,8453,288,2923,0.37986513663788
walmart,icdn,boot87,8453,470,551,0.1207855199337513
walmart,icdn,boot88,8453,293,973,0.1497693126700579
walmart,icdn,boot89,8453,293,3055,0.3960724003312433
walmart,icdn,boot90,8453,455,551,0.1190110020111203
walmart,icdn,boot91,8453,622,551,0.1387673015497456
walmart,icdn,boot92,8453,483,551,0.1223234354666982
walmart,icdn,boot93,8453,293,551,0.0998462084467053
walmart,icdn,boot94,8453,632,2923,0.4205607476635514
walmart,icdn,boot95,8453,445,2923,0.3984384242280847
walmart,icdn,boot96,8453,477,551,0.1216136282976458
walmart,icdn,boot97,8453,477,551,0.1216136282976458
walmart,icdn,boot98,8453,659,2625,0.388501123861351
walmart,icdn,boot99,8453,657,3088,0.4430379746835443
walmart,icdn,1,22782,2338,6005,0.3662101659204635
