product_code,category,sub_commodity,brand,style,department,n_obs,n_stores,n_weeks,total_units,unique_prices,mean_price,std_price,mean_baskets,mean_households,discount_rate,coupon_rate,price_cv,coverage_rate,median_line_qty,p99_line_qty,max_line_qty,n_rows,promo_rows,promo_coverage
1053690,SOFT DRINKS,SFT DRNK 2 LITER BTL CARB INCL,1208,National,GROCERY,288,20,50,670.0,18,1.2529533,0.2581625,1.3784722222222223,1.3090277777777777,0.8020833333333334,0.0,0.2060432,0.2823529411764706,1.0,8.0,50.0,288,107,0.3715277777777778
844165,SOFT DRINKS,SFT DRNK 2 LITER BTL CARB INCL,103,National,GROCERY,274,20,50,758.0,21,1.1767101,0.21333848,1.397810218978102,1.2335766423357664,0.9854014598540146,0.0036496350364963502,0.18130079,0.26862745098039215,1.0,8.0,20.0,274,123,0.4489051094890511
1092026,SOFT DRINKS,SFT DRNK 2 LITER BTL CARB INCL,103,National,GROCERY,215,20,46,492.0,12,1.1393669,0.21515875,1.330232558139535,1.186046511627907,1.0,0.0,0.18884063,0.2107843137254902,1.0,7.0,20.0,215,109,0.5069767441860465
916381,SOFT DRINKS,SFT DRNK 2 LITER BTL CARB INCL,1208,National,GROCERY,163,20,45,263.0,14,1.2031646,0.26334438,1.2147239263803682,1.196319018404908,0.852760736196319,0.006134969325153374,0.21887644,0.15980392156862744,1.0,6.0,31.0,163,70,0.4294478527607362
893501,SOFT DRINKS,SFT DRNK 2 LITER BTL CARB INCL,1208,National,GROCERY,132,20,46,259.0,11,1.2180682,0.26811013,1.1590909090909092,1.106060606060606,0.8257575757575758,0.007575757575757576,0.22011092,0.12941176470588237,1.0,10.0,24.0,132,60,0.45454545454545453
1132770,SOFT DRINKS,SFT DRNK 2 LITER BTL CARB INCL,69,Private,GROCERY,124,18,44,189.0,10,0.57258064,0.045885522,1.2096774193548387,1.1209677419354838,0.33064516129032256,0.0,0.080138095,0.12156862745098039,1.0,2.4200000000000728,10.0,124,29,0.23387096774193547
868764,SOFT DRINKS,SFT DRNK 2 LITER BTL CARB INCL,103,National,GROCERY,119,19,45,286.0,12,1.134854,0.21084529,1.2857142857142858,1.1176470588235294,1.0,0.0,0.18579069,0.11666666666666667,1.0,8.0,20.0,119,63,0.5294117647058824
1076875,SOFT DRINKS,SFT DRNK 2 LITER BTL CARB INCL,2224,National,GROCERY,103,19,42,178.0,9,1.1317314,0.22000025,1.1262135922330097,1.0485436893203883,1.0,0.0,0.19439264,0.10098039215686275,1.0,4.0,6.0,103,51,0.49514563106796117
839849,SOFT DRINKS,SFT DRNK 2 LITER BTL CARB INCL,69,Private,GROCERY,82,13,38,239.0,8,0.56107724,0.039634272,1.5609756097560976,1.0121951219512195,0.3780487804878049,0.012195121951219513,0.0706396,0.0803921568627451,1.0,6.0,8.0,82,20,0.24390243902439024
1010190,SOFT DRINKS,SFT DRNK 2 LITER BTL CARB INCL,1208,National,GROCERY,72,11,38,181.0,10,1.2807176,0.25992262,1.1388888888888888,1.0138888888888888,0.75,0.0,0.20295078,0.07058823529411765,1.0,6.0,10.0,72,22,0.3055555555555556
