product_code,item_category_id,category,n_obs,n_stores,n_weeks,total_units,total_revenue,unique_prices,mean_price,std_price,median_units,max_units,return_units,promo_ref_rows,promo_rate,price_cv,coverage_rate,promo_ref_coverage,return_rate
100,40,Кино - DVD,40,15,27,40.0,5960.0,1,149.0,0.0,1.0,1.0,0.0,8,0.0,0.0,0.0273972602739726,0.2,0.0
1000,67,Подарки - Развитие,118,18,57,142.0,13338.0,2,93.66102,11.5234585,1.0,5.0,0.0,58,0.3448275862068966,0.123033665,0.08082191780821918,0.4915254237288136,0.0
10000,37,Кино - Blu-Ray,19,8,16,19.0,4681.0,2,246.36842,112.3903,1.0,1.0,0.0,3,0.0,0.4561879,0.013013698630136987,0.15789473684210525,0.0
10001,38,Кино - Blu-Ray 3D,31,15,19,33.0,11516.8,2,348.99353,0.024974627,1.0,2.0,0.0,1,0.0,7.1561866e-05,0.021232876712328767,0.03225806451612903,0.0
10002,40,Кино - DVD,51,17,16,72.0,28727.2,4,398.99054,0.027941374,1.0,6.0,0.0,6,0.0,7.003017e-05,0.03493150684931507,0.11764705882352941,0.0
10004,40,Кино - DVD,62,16,38,63.0,9386.7,2,148.99516,0.021634774,1.0,2.0,0.0,20,0.0,0.00014520454,0.04246575342465753,0.3225806451612903,0.0
10005,37,Кино - Blu-Ray,1,1,1,1.0,299.0,1,299.0,,1.0,1.0,0.0,0,,,0.0006849315068493151,0.0,0.0
10006,41,Кино - Коллекционное,35,17,12,42.0,16758.0,1,399.0,0.0,1.0,3.0,0.0,0,,0.0,0.023972602739726026,0.0,0.0
10007,41,Кино - Коллекционное,40,17,17,52.0,20748.0,1,399.0,0.0,1.0,4.0,0.0,4,0.0,0.0,0.0273972602739726,0.1,0.0
10008,40,Кино - DVD,32,14,26,32.0,4665.9,3,145.80937,12.541862,1.0,1.0,0.0,3,0.3333333333333333,0.08601547,0.021917808219178082,0.09375,0.0
10009,37,Кино - Blu-Ray,1,1,1,1.0,28.0,1,28.0,,1.0,1.0,0.0,0,,,0.0006849315068493151,0.0,0.0
1001,67,Подарки - Развитие,116,17,56,141.0,12879.0,2,91.24138,13.193293,1.0,5.0,0.0,59,0.4576271186440678,0.1445977,0.07945205479452055,0.5086206896551724,0.0
10010,38,Кино - Blu-Ray 3D,44,15,27,44.0,18403.7,7,418.2659,170.62851,1.0,1.0,2.0,4,1.0,0.40794268,0.030136986301369864,0.09090909090909091,0.043478260869565216
10011,37,Кино - Blu-Ray,37,19,21,37.0,7363.0,1,199.0,0.0,1.0,1.0,0.0,0,,0.0,0.025342465753424658,0.0,0.0
10012,40,Кино - DVD,167,20,61,182.0,27117.6,3,148.9976,0.018859515,1.0,4.0,0.0,93,0.0,0.00012657596,0.11438356164383562,0.5568862275449101,0.0
10013,37,Кино - Blu-Ray,1,1,1,1.0,28.0,1,28.0,,1.0,1.0,0.0,0,,,0.0006849315068493151,0.0,0.0
10014,37,Кино - Blu-Ray,2,2,2,2.0,56.0,1,28.0,0.0,1.0,1.0,0.0,0,,0.0,0.0013698630136986301,0.0,0.0
10015,40,Кино - DVD,2,2,2,2.0,298.0,1,149.0,0.0,1.0,1.0,0.0,0,,0.0,0.0013698630136986301,0.0,0.0
10016,40,Кино - DVD,129,20,28,272.0,94928.0,1,349.0,0.0,2.0,8.0,0.0,57,0.0,0.0,0.08835616438356164,0.4418604651162791,0.0
10018,40,Кино - DVD,10,7,9,10.0,1439.0,2,143.9,16.127617,1.0,1.0,0.0,0,,0.11207517,0.00684931506849315,0.0,0.0
10019,40,Кино - DVD,1,1,1,1.0,58.0,1,58.0,,1.0,1.0,0.0,0,,,0.0006849315068493151,0.0,0.0
1002,67,Подарки - Развитие,152,19,59,189.0,17901.0,2,94.26316,10.975431,1.0,7.0,0.0,84,0.27380952380952384,0.11643394,0.10410958904109589,0.5526315789473685,0.0
10020,40,Кино - DVD,15,15,1,41.0,16359.0,1,399.0,0.0,2.0,8.0,0.0,0,,0.0,0.010273972602739725,0.0,0.0
10021,37,Кино - Blu-Ray,12,12,1,20.0,9980.0,1,499.0,0.0,1.5,3.0,0.0,0,,0.0,0.00821917808219178,0.0,0.0
10022,40,Кино - DVD,30,12,24,32.0,4596.2,4,143.27335,19.285692,1.0,2.0,0.0,6,0.0,0.13460767,0.02054794520547945,0.2,0.0
10023,40,Кино - DVD,31,12,17,33.0,13167.0,1,399.0,0.0,1.0,2.0,0.0,5,0.0,0.0,0.021232876712328767,0.16129032258064516,0.0
10024,40,Кино - DVD,1,1,1,1.0,28.0,1,28.0,,1.0,1.0,0.0,0,,,0.0006849315068493151,0.0,0.0
10025,40,Кино - DVD,3,2,3,3.0,174.0,1,58.0,0.0,1.0,1.0,0.0,0,,0.0,0.002054794520547945,0.0,0.0
10026,59,Музыка - Музыкальное видео,18,8,12,18.0,4482.0,1,249.0,0.0,1.0,1.0,0.0,0,,0.0,0.012328767123287671,0.0,0.0
10027,58,Музыка - Винил,3,3,2,3.0,5547.0,1,1849.0,0.0,1.0,1.0,0.0,0,,0.0,0.002054794520547945,0.0,0.0
