store_code,n_obs,n_items,n_weeks,total_units,total_revenue,week_coverage
0,6657,3436,8,10649.0,5988147.0,0.1095890410958904
1,4202,2389,8,5725.0,2878014.0,0.1095890410958904
10,11138,4153,73,14885.0,10418291.0,1.0
12,12725,4342,73,28533.0,49958130.0,1.0
13,13846,4560,73,17708.0,5369275.5,1.0
14,17039,5064,72,26087.0,23092584.0,0.9863013698630136
15,27184,5815,73,41904.0,33654140.0,1.0
16,26232,7037,73,37242.0,29046870.0,1.0
17,12496,3813,52,16654.0,16876868.0,0.7123287671232876
18,25633,6536,73,41611.0,50019270.0,1.0
19,29458,6759,73,42544.0,32881474.0,1.0
2,10233,2896,72,14141.0,20077850.0,0.9863013698630136
21,25431,7111,73,34855.0,25895836.0,1.0
22,20214,5383,73,35603.0,32239986.0,1.0
23,5497,2843,16,7260.0,5282927.0,0.2191780821917808
24,24459,5733,71,38164.0,36090652.0,0.9726027397260274
25,76575,11428,73,132967.0,102132536.0,1.0
26,26024,6688,73,40531.0,34759480.0,1.0
27,43101,7973,69,75498.0,68542140.0,0.9452054794520548
28,57750,9283,73,104352.0,76494370.0,1.0
29,25896,6099,73,39888.0,34070540.0,1.0
3,11382,3392,73,14499.0,12989106.0,1.0
30,30575,7929,73,43943.0,30589708.0,1.0
31,93592,10659,73,176786.0,118627430.0,1.0
32,6764,3247,26,8627.0,5663190.0,0.3561643835616438
35,26159,6503,73,37777.0,32813538.0,1.0
37,19443,6116,72,26470.0,21867510.0,0.9863013698630136
38,19046,5039,73,27873.0,29810988.0,1.0
39,1884,1239,14,2452.0,2452956.0,0.1917808219178082
4,17900,5042,71,24962.0,21808878.0,0.9726027397260274
40,744,300,14,1172.0,907360.0,0.1917808219178082
41,21870,5124,73,31948.0,27602556.0,1.0
42,42906,8524,73,72389.0,66217748.0,1.0
43,21528,5332,73,35239.0,39831850.0,1.0
44,21083,6492,73,28295.0,18265818.0,1.0
45,18218,4966,73,25495.0,23112626.0,1.0
46,30541,6563,73,46456.0,36998820.0,1.0
47,22450,5268,73,31432.0,31053478.0,1.0
48,1513,990,6,2211.0,2120792.0,0.0821917808219178
49,3061,1466,23,3645.0,4237413.0,0.3150684931506849
5,16327,4685,69,21418.0,17143698.0,0.9452054794520548
50,35123,6868,73,53952.0,50633324.0,1.0
51,25188,6542,73,32720.0,14426617.0,1.0
52,20833,5872,73,29194.0,23503026.0,1.0
53,23761,5049,73,34959.0,29306306.0,1.0
54,72383,11537,73,126307.0,85869890.0,1.0
55,7221,1177,57,13308.0,5595392.0,0.7808219178082192
56,33273,8056,73,44886.0,29805298.0,1.0
57,51357,9328,66,84013.0,59626200.0,0.9041095890410958
58,31005,5931,66,45164.0,32199142.0,0.9041095890410958
59,20189,5086,73,28650.0,23434510.0,1.0
6,39383,8693,73,61011.0,51768336.0,1.0
7,26364,5868,73,37589.0,33050330.0,1.0
8,2576,1654,11,3016.0,1949708.0,0.1506849315068493
9,627,627,1,6531.0,5853849.0,0.0136986301369863
