dataset,model,fold_or_boot_id,n_observed_cells,n_below_support,n_above_support,share_outside_support
one_c,icdn,1,1807,274,0,0.1516325401217487
one_c,icdn,2,1329,337,35,0.2799097065462754
one_c,icdn,3,744,135,127,0.3521505376344086
one_c,icdn,holdout,903,142,160,0.3344407530454042
one_c,icdn,boot0,903,142,160,0.3344407530454042
one_c,icdn,boot1,903,144,160,0.3366555924695459
one_c,icdn,boot2,903,144,160,0.3366555924695459
one_c,icdn,boot3,903,142,160,0.3344407530454042
one_c,icdn,boot4,903,142,160,0.3344407530454042
one_c,icdn,boot5,903,143,160,0.335548172757475
one_c,icdn,boot6,903,142,160,0.3344407530454042
one_c,icdn,boot7,903,129,160,0.3200442967884828
one_c,icdn,boot8,903,387,160,0.6057585825027686
one_c,icdn,boot9,903,143,160,0.335548172757475
one_c,icdn,boot10,903,134,160,0.3255813953488372
one_c,icdn,boot11,903,146,160,0.3388704318936877
one_c,icdn,boot12,903,123,160,0.3133997785160576
one_c,icdn,boot13,903,142,160,0.3344407530454042
one_c,icdn,boot14,903,129,160,0.3200442967884828
one_c,icdn,boot15,903,124,160,0.3145071982281284
one_c,icdn,boot16,903,143,160,0.335548172757475
one_c,icdn,boot17,903,142,160,0.3344407530454042
one_c,icdn,boot18,903,381,160,0.5991140642303433
one_c,icdn,boot19,903,143,160,0.335548172757475
one_c,icdn,boot20,903,142,160,0.3344407530454042
one_c,icdn,boot21,903,142,160,0.3344407530454042
one_c,icdn,boot22,903,142,160,0.3344407530454042
one_c,icdn,boot23,903,148,160,0.3410852713178294
one_c,icdn,boot24,903,130,160,0.3211517165005537
one_c,icdn,boot25,903,142,160,0.3344407530454042
one_c,icdn,boot26,903,146,160,0.3388704318936877
one_c,icdn,boot27,903,387,160,0.6057585825027686
one_c,icdn,boot28,903,143,160,0.335548172757475
one_c,icdn,boot29,903,132,160,0.3233665559246955
one_c,icdn,boot30,903,129,160,0.3200442967884828
one_c,icdn,boot31,903,142,160,0.3344407530454042
one_c,icdn,boot32,903,132,160,0.3233665559246955
one_c,icdn,boot33,903,124,160,0.3145071982281284
one_c,icdn,boot34,903,143,160,0.335548172757475
one_c,icdn,boot35,903,148,160,0.3410852713178294
one_c,icdn,boot36,903,123,160,0.3133997785160576
one_c,icdn,boot37,903,148,160,0.3410852713178294
one_c,icdn,boot38,903,142,160,0.3344407530454042
one_c,icdn,boot39,903,382,160,0.6002214839424141
one_c,icdn,boot40,903,148,160,0.3410852713178294
one_c,icdn,boot41,903,142,160,0.3344407530454042
one_c,icdn,boot42,903,123,160,0.3133997785160576
one_c,icdn,boot43,903,381,160,0.5991140642303433
one_c,icdn,boot44,903,134,160,0.3255813953488372
one_c,icdn,boot45,903,386,160,0.6046511627906976
one_c,icdn,boot46,903,142,160,0.3344407530454042
one_c,icdn,boot47,903,124,160,0.3145071982281284
one_c,icdn,boot48,903,148,160,0.3410852713178294
one_c,icdn,boot49,903,143,160,0.335548172757475
one_c,icdn,boot50,903,142,160,0.3344407530454042
one_c,icdn,boot51,903,123,160,0.3133997785160576
one_c,icdn,boot52,903,143,160,0.335548172757475
one_c,icdn,boot53,903,393,160,0.6124031007751938
one_c,icdn,boot54,903,124,160,0.3145071982281284
one_c,icdn,boot55,903,143,160,0.335548172757475
one_c,icdn,boot56,903,143,160,0.335548172757475
one_c,icdn,boot57,903,134,160,0.3255813953488372
one_c,icdn,boot58,903,143,160,0.335548172757475
one_c,icdn,boot59,903,143,160,0.335548172757475
one_c,icdn,boot60,903,143,160,0.335548172757475
one_c,icdn,boot61,903,130,160,0.3211517165005537
one_c,icdn,boot62,903,146,160,0.3388704318936877
one_c,icdn,boot63,903,142,160,0.3344407530454042
one_c,icdn,boot64,903,130,160,0.3211517165005537
one_c,icdn,boot65,903,142,160,0.3344407530454042
one_c,icdn,boot66,903,367,160,0.583610188261351
one_c,icdn,boot67,903,142,160,0.3344407530454042
one_c,icdn,boot68,903,142,160,0.3344407530454042
one_c,icdn,boot69,903,143,160,0.335548172757475
one_c,icdn,boot70,903,142,160,0.3344407530454042
one_c,icdn,boot71,903,381,160,0.5991140642303433
one_c,icdn,boot72,903,142,160,0.3344407530454042
one_c,icdn,boot73,903,143,160,0.335548172757475
one_c,icdn,boot74,903,148,160,0.3410852713178294
one_c,icdn,boot75,903,123,160,0.3133997785160576
one_c,icdn,boot76,903,142,160,0.3344407530454042
one_c,icdn,boot77,903,127,160,0.3178294573643411
one_c,icdn,boot78,903,142,160,0.3344407530454042
one_c,icdn,boot79,903,142,160,0.3344407530454042
one_c,icdn,boot80,903,142,160,0.3344407530454042
one_c,icdn,boot81,903,362,160,0.5780730897009967
one_c,icdn,boot82,903,129,162,0.3222591362126246
one_c,icdn,boot83,903,381,160,0.5991140642303433
one_c,icdn,boot84,903,130,160,0.3211517165005537
one_c,icdn,boot85,903,383,160,0.6013289036544851
one_c,icdn,boot86,903,142,160,0.3344407530454042
one_c,icdn,boot87,903,143,160,0.335548172757475
one_c,icdn,boot88,903,143,160,0.335548172757475
one_c,icdn,boot89,903,130,160,0.3211517165005537
one_c,icdn,boot90,903,129,160,0.3200442967884828
one_c,icdn,boot91,903,142,160,0.3344407530454042
one_c,icdn,boot92,903,128,160,0.3189368770764119
one_c,icdn,boot93,903,148,160,0.3410852713178294
one_c,icdn,boot94,903,132,160,0.3233665559246955
one_c,icdn,boot95,903,144,194,0.3743078626799557
one_c,icdn,boot96,903,142,160,0.3344407530454042
one_c,icdn,boot97,903,129,160,0.3200442967884828
one_c,icdn,boot98,903,364,160,0.5802879291251384
one_c,icdn,boot99,903,381,160,0.5991140642303433
